ad_id,Unique ID,segment,scrape_date,created_date,updated_date,Estate,saleable_area_ft2,gross_area_ft2,price_hkdm,rent_hkd,Duplicated,pricechange,latest_date_filter
2783682,27836822023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Mei Foo Sun Chuen Phase 1 Kowloon Mei Foo Block and Unit: 007C Broadway Street Building age: 55 Year Show more info about the Estate Mei Foo Sun Chuen,719.0,959.0,7.8,,Y,False,N
2783465,27834652023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Tung Hing Mansion HK Island Kennedy Town Block and Unit: Unit B,Mid Floor,Tung Hing Mansion Building age: 57 Year Show more info about the Estate Tung Hing Mansion",490.0,,5.5,,Y,False,N
2783492,27834922023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"The Amused Kowloon Cheung Sha Wan Block and Unit: High Floor,The Amused Building age: 5 Year Show more info about the Estate The Amused",285.0,,5.19,,Y,False,N
2783498,27834982023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Vision City New Territories Tsuen Wan Block and Unit: Block 1 Room B Show more info about the Estate Vision City,670.0,892.0,13.5,,Y,False,N
2783496,27834962023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Mei Foo Sun Chuen Phase 7 Kowloon Mei Foo Block and Unit: No. 014A, Lai Wan Road Show more info about the Estate Mei Foo Sun Chuen",708.0,944.0,9.1,,Y,False,N
2783495,27834952023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Tong Ming Court New Territories Tseung Kwan O Block and Unit: High Floor,TONG WONG HOUSE--BLOCK B Building age: 24 Year Show more info about the Estate Tong Ming Court",639.0,,5.7,,Y,False,N
2783494,27834942023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Mayfair By The Sea 8 New Territories Tai Po Block and Unit: Block 2HRoom Building age: 2 Year Show more info about the Estate Mayfair By The Sea 8,700.0,,10.0,,Y,False,N
2783503,27835032023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Parc City New Territories Tsuen Wan Block and Unit: Room C, Tower 7 Building age: 4 Year Show more info about the Estate Parc City",524.0,,10.18,,Y,False,N
2783440,27834402023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Victoria Skye Kowloon Kai Tak Block and Unit: Room A, Tower 3, Tian Hai Hui Building age: 5 Year Show more info about the Estate Victoria Skye",640.0,,13.6,,Y,False,N
2783434,27834342023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"K.city Kowloon Kai Tak Block and Unit: Room C, Tower 2 Building age: 5 Year Show more info about the Estate K.city",455.0,,9.2,,Y,False,N
2783432,27834322023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,The Wings THE WINGS II New Territories Tseung Kwan O Block and Unit: Block 2A Building age: 6 Year Show more info about the Estate The Wings,943.0,1200.0,17.8,,Y,False,N
2783430,27834302023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Palatial Coast Grand Pacific Heights New Territories Tuen Mun Castle Peak Road Block and Unit: Hai Qin Xuan Tower 9 high-rise building Building age: 22 Year Show more info about the Estate Palatial Coast,875.0,,8.08,,Y,False,N
2783429,27834292023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Metro Town New Territories Tseung Kwan O Block and Unit: 6 seat E Show more info about the Estate Metro Town,633.0,855.0,9.5,,Y,False,N
2783461,27834612023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Cite 33 Kowloon Prince Edward Block and Unit: High Floor,CITE 33 Building age: 15 Year Show more info about the Estate Cite 33",474.0,,9.0,,Y,False,N
2783459,27834592023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Elizabeth House HK Island Causeway Bay Block and Unit: Room 6, Block B Building age: 45 Year Show more info about the Estate Elizabeth House",540.0,623.0,8.3,,Y,True,N
2783458,27834582023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"The Coronation Kowloon Yau Ma Tei Block and Unit: High Floor,TOWER 7 Building age: 11 Year Show more info about the Estate The Coronation",400.0,,7.48,,Y,False,N
2783455,27834552023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Laichikok Bay Garden Kowloon Mei Foo Block and Unit: Tower B 4 Building age: 46 Year Show more info about the Estate Laichikok Bay Garden,426.0,477.0,5.2,,Y,False,N
2783452,27834522023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Palatial Coast Grand Pacific Heights New Territories Tuen Mun Castle Peak Road Block and Unit: Lower floor of Tower 7, Hai Qin Xuan Building age: 22 Year Show more info about the Estate Palatial Coast",672.0,,6.15,,Y,False,N
2783447,27834472023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Cheung Wo Court Kowloon Kwun Tong Block and Unit: Low Floor,BLOCK C Show more info about the Estate Cheung Wo Court",467.0,562.0,4.85,,Y,False,N
2783544,27835442023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Century Link PHASE 1 Islands Tung Chung Block and Unit: Room 6, Tower 3A Building age: 7 Year Show more info about the Estate Century Link",381.0,,5.18,,Y,False,N
2783557,27835572023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Mountain Shore New Territories Ma On Shan Block and Unit: 3 seats F Building age: 23 Year Show more info about the Estate Mountain Shore,501.0,666.0,6.4,,Y,False,N
2783501,27835012023-09-14,Residential,2023-09-14,2023-09-11,2023-09-12,"One East Coast Kowloon Yau Tong Block and Unit: Mid Floor,TOWER 2 Building age: 4 Year Show more info about the Estate One East Coast",260.0,,4.66,,Y,True,N
2783550,27835502023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Chung Sing Buliding Kowloon Tai Kok Tsui Block and Unit: Unit 6,Mid Floor,Chung Sing Buliding Building age: 57 Year Show more info about the Estate Chung Sing Buliding",419.0,,3.3,,Y,False,N
2783549,27835492023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,On Ning Garden New Territories Tseung Kwan O Block and Unit: 4 seats J Building age: 33 Year Show more info about the Estate On Ning Garden,465.0,551.0,5.5,,Y,False,N
2783547,27835472023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"King Shan Court Kowloon Ngau Chi Wan Block and Unit: High Floor,BLOCK E Building age: 40 Year Show more info about the Estate King Shan Court",548.0,,5.28,,Y,False,N
2783545,27835452023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Lake Silver New Territories Ma On Shan Block and Unit: 5 seat A Building age: 14 Year Show more info about the Estate Lake Silver,1668.0,2296.0,39.8,,Y,False,N
2783562,27835622023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Nam Hung Mansion HK Island Kennedy Town Block and Unit: High Floor,BLOCK B Building age: 49 Year Show more info about the Estate Nam Hung Mansion",340.0,411.0,6.48,,Y,False,N
2783573,27835732023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Kam Hay Court New Territories Ma On Shan Block and Unit: Jinxin Pavilion middle floor Building age: 33 Year Show more info about the Estate Kam Hay Court,645.0,827.0,6.45,,Y,False,N
2783571,27835712023-09-14,Residential,2023-09-14,2023-09-11,2023-09-12,"Po Kwong Building Kowloon To Kwa Wan Block and Unit: Unit L,High Floor,Po Kwong Building Building age: 57 Year Show more info about the Estate Po Kwong Building",332.0,,3.2,,Y,False,N
2783568,27835682023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Wah Fai Mansion Kowloon Tsim Sha Tsui Block and Unit: Huahui Building high-rise Show more info about the Estate Wah Fai Mansion,361.0,,4.38,,Y,False,N
2783566,27835662023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Koko Hills Phase 1 Kowloon Lam Tin Block and Unit: Unit F,High Floor,TOWER 3,KOKO HILLS Show more info about the Estate Koko Hills",462.0,,8.3,,Y,False,N
2777084,27770842023-09-14,Residential,2023-09-14,2023-09-05,2023-09-09,"Tai Po Centre PHASE 2 New Territories Tai Po Block and Unit: High Floor,TOWER 5,PHASE 2 Building age: 37 Year Show more info about the Estate Tai Po Centre",300.0,423.0,4.38,,Y,False,N
2783518,27835182023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Fa Yuen Plaza Kowloon Mong Kok Block and Unit: Low Floor,Fa Yuen Plaza Building age: 19 Year Show more info about the Estate Fa Yuen Plaza",322.0,,5.8,,Y,False,N
2783517,27835172023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Tung Yu Building Kowloon Yau Ma Tei Block and Unit: High Floor,Tung Yu Building Building age: 44 Year Show more info about the Estate Tung Yu Building",304.0,,3.72,,Y,False,N
2783514,27835142023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Yuk Ming Court New Territories Tseung Kwan O Block and Unit: Mid Floor,BLOCK A Building age: 27 Year Show more info about the Estate Yuk Ming Court",438.0,,5.2,,Y,False,N
